total_size,draw,method,f1_score
49,4,RF,0.7667499167499168
49,4,XGB,0.9195959595959596
49,5,LOGIS,0.7228538128538128
49,5,SVM,0.8072138972138972
49,5,KNN,0.7144871794871795
49,5,RF,0.7831279831279832
49,5,XGB,0.7871933621933622
49,6,LOGIS,0.7785858585858586
49,6,SVM,0.7962037962037961
49,6,KNN,0.7253646353646354
49,6,RF,0.7122799422799423
49,6,XGB,0.625
49,7,LOGIS,0.7942424242424242
49,7,SVM,0.83510101010101
49,7,KNN,0.7170851370851371
49,7,RF,0.8116416916416916
49,7,XGB,0.6243145743145744
49,8,LOGIS,0.813989898989899
49,8,SVM,0.8545526695526695
49,8,KNN,0.7004717504717505
49,8,RF,0.705930735930736
49,8,XGB,0.7075252525252524
49,9,LOGIS,0.8543939393939395
49,9,SVM,0.8543939393939395
49,9,KNN,0.8063708513708514
49,9,RF,0.8716666666666668
49,9,XGB,0.8135858585858587
49,10,LOGIS,0.8945526695526695
49,10,SVM,0.8730880230880231
49,10,KNN,0.7828199578199578
49,10,RF,0.8313120213120213
49,10,XGB,0.7504545454545455
49,11,LOGIS,0.8929292929292929
49,11,SVM,0.872929292929293
49,11,KNN,0.8399988899988899
49,11,RF,0.8288999888999887
49,11,XGB,0.7421972471972472
49,12,LOGIS,0.9381313131313131
49,12,SVM,0.9381313131313131
49,12,KNN,0.8203102453102453
49,12,RF,0.7654872904872905
49,12,XGB,0.8169696969696968
49,13,LOGIS,0.8355050505050506
49,13,SVM,0.8535270285270287
49,13,KNN,0.7004212454212454
49,13,RF,0.7457142857142858
49,13,XGB,0.7382395382395381
49,14,LOGIS,0.7315656565656565
49,14,SVM,0.7099999999999999
49,14,KNN,0.7263458763458763
49,14,RF,0.6263891663891664
49,14,XGB,0.6683333333333333
49,15,LOGIS,0.829022644022644
49,15,SVM,0.829022644022644
49,15,KNN,0.6979298479298479
49,15,RF,0.6991924741924742
49,15,XGB,0.6593906093906093
49,16,LOGIS,0.9595959595959596
49,16,SVM,0.9595959595959596
49,16,KNN,0.7787157287157288
49,16,RF,0.7214646464646464
49,16,XGB,0.795959595959596
49,17,LOGIS,0.8330558330558331
